,human,machine
103,6 july 1970,1970-07-06
104,thursday october 12 2000,2000-10-12
105,sunday august 23 2009,2009-08-23
106,tuesday may 8 2007,2007-05-08
107,15 mar 1971,1971-03-15
108,28 09 95,1995-09-28
109,april 22 2009,2009-04-22
110,november 11 2003,2003-11-11
111,sunday january 9 1977,1977-01-09
112,sunday february 3 2002,2002-02-03
113,11.04.06,2006-04-11
114,tuesday august 4 1987,1987-08-04
115,december 4 1988,1988-12-04
116,15 august 1973,1973-08-15
117,saturday april 25 2015,2015-04-25
118,saturday november 24 1979,1979-11-24
119,tuesday december 22 1998,1998-12-22
120,26 jun 2012,2012-06-26
121,may 7 1985,1985-05-07
122,thursday march 24 2016,2016-03-24
123,saturday june 12 2004,2004-06-12
124,23 03 77,1977-03-23
125,11/7/98,1998-11-07
126,13 12 16,2016-12-13
127,tuesday september 9 1980,1980-09-09
128,9 september 2009,2009-09-09
129,29 12 76,1976-12-29
130,20 april 2012,2012-04-20
131,may 29 1984,1984-05-29
132,wednesday april 25 2012,2012-04-25
133,wednesday november 21 1973,1973-11-21
134,wednesday july 24 1996,1996-07-24
135,25 march 1986,1986-03-25
136,november 4 2011,2011-11-04
137,saturday april 7 2012,2012-04-07
138,27 december 1989,1989-12-27
139,20 november 2006,2006-11-20
140,april 3 1980,1980-04-03
141,september 21 1992,1992-09-21
142,06.06.91,1991-06-06
143,13 07 17,2017-07-13
144,friday april 5 1985,1985-04-05
145,friday april 10 2015,2015-04-10
146,14 jul 2000,2000-07-14
147,9/22/76,1976-09-22
148,24 feb 2003,2003-02-24
149,friday february 8 2002,2002-02-08
150,04.02.87,1987-02-04
151,4 november 1976,1976-11-04
152,march 27 1999,1999-03-27
153,28 december 2005,2005-12-28
154,thursday november 11 1999,1999-11-11
155,friday february 25 1977,1977-02-25
156,april 26 1996,1996-04-26
157,may 30 1982,1982-05-30
158,july 29 1998,1998-07-29
159,tuesday march 12 2002,2002-03-12
160,23 january 2006,2006-01-23
161,9/22/01,2001-09-22
162,monday october 13 1986,1986-10-13
163,18 oct 1983,1983-10-18
164,sunday october 30 1977,1977-10-30
165,august 11 2005,2005-08-11
166,tuesday july 9 1991,1991-07-09
167,3 oct 2010,2010-10-03
168,wednesday september 26 2001,2001-09-26
169,10.12.70,1970-12-10
170,tuesday april 7 1981,1981-04-07
171,november 22 1974,1974-11-22
172,3 dec 1986,1986-12-03
173,august 20 1971,1971-08-20
174,august 15 2002,2002-08-15
175,06 jul 1990,1990-07-06
176,jun 20 2007,2007-06-20
177,08 oct 1994,1994-10-08
178,monday may 14 2001,2001-05-14
179,2/14/88,1988-02-14
180,saturday june 9 2001,2001-06-09
181,6/15/70,1970-06-15
182,december 2 1974,1974-12-02
183,15 jun 1979,1979-06-15
184,may 19 1974,1974-05-19
185,10 aug 2002,2002-08-10
186,15 july 1989,1989-07-15
187,17 10 11,2011-10-17
188,saturday march 14 1998,1998-03-14
189,wednesday october 1 2008,2008-10-01
190,9 09 76,1976-09-09
191,8 dec 1976,1976-12-08
192,march 22 1994,1994-03-22
193,05 mar 1992,1992-03-05
194,14 11 72,1972-11-14
195,december 9 2003,2003-12-09
196,friday february 17 1984,1984-02-17
197,tuesday march 31 1992,1992-03-31
198,tuesday april 27 1976,1976-04-27
199,wednesday march 29 2006,2006-03-29
200,wednesday march 23 1977,1977-03-23
201,february 3 1995,1995-02-03
202,wednesday july 1 1987,1987-07-01
203,sunday june 26 1988,1988-06-26
204,saturday february 24 1996,1996-02-24
205,october 21 1997,1997-10-21
206,saturday january 2 1982,1982-01-02
207,12 dec 2005,2005-12-12
208,monday october 16 1972,1972-10-16
209,friday november 25 1988,1988-11-25
210,mar 16 1976,1976-03-16
211,11 june 2012,2012-06-11
212,sunday november 23 1997,1997-11-23
213,thursday november 6 1997,1997-11-06
214,sunday december 24 2000,2000-12-24
215,friday february 3 1984,1984-02-03
216,14 january 1984,1984-01-14
217,tuesday march 14 1978,1978-03-14
218,17 june 2002,2002-06-17
219,monday april 11 1988,1988-04-11
220,may 10 2013,2013-05-10
221,11 february 2005,2005-02-11
222,21 feb 1977,1977-02-21
223,thursday april 11 1991,1991-04-11
224,monday april 20 1987,1987-04-20
225,sunday december 1 1974,1974-12-01
226,thursday january 23 1975,1975-01-23
227,saturday november 17 1973,1973-11-17
228,thursday august 3 2017,2017-08-03
229,thursday september 29 1988,1988-09-29
230,monday march 30 1970,1970-03-30
231,23 10 91,1991-10-23
232,wednesday march 7 1979,1979-03-07
233,saturday march 14 1970,1970-03-14
234,thursday january 24 2008,2008-01-24
235,friday february 9 1973,1973-02-09
236,may 16 2000,2000-05-16
237,jun 21 1972,1972-06-21
238,23 sep 2011,2011-09-23
239,thursday may 25 1989,1989-05-25
240,wednesday september 26 1973,1973-09-26
241,26 dec 2007,2007-12-26
242,wednesday may 13 1998,1998-05-13
243,monday march 1 1976,1976-03-01
244,saturday august 2 1975,1975-08-02
245,january 7 1999,1999-01-07
246,aug 14 2005,2005-08-14
247,04 may 2004,2004-05-04
248,3 december 1973,1973-12-03
249,saturday september 27 1997,1997-09-27
250,june 4 1979,1979-06-04
251,monday april 17 2017,2017-04-17
252,10 feb 2008,2008-02-10
253,29 november 2016,2016-11-29
254,thursday february 8 1996,1996-02-08
255,tuesday july 26 2016,2016-07-26
256,wednesday august 20 2014,2014-08-20
257,27 march 1985,1985-03-27
258,sep 5 1985,1985-09-05
259,06 apr 2013,2013-04-06
260,2 jun 1995,1995-06-02
261,monday march 26 1979,1979-03-26
262,saturday february 1 1992,1992-02-01
263,monday august 20 2007,2007-08-20
264,20.10.00,2000-10-20
265,monday june 9 2003,2003-06-09
266,sunday september 20 1998,1998-09-20
267,14 june 1983,1983-06-14
268,may 27 2005,2005-05-27
269,thursday april 13 2017,2017-04-13
270,5/27/80,1980-05-27
271,sunday september 3 1972,1972-09-03
272,10 march 1992,1992-03-10
273,february 20 1998,1998-02-20
274,october 7 1970,1970-10-07
275,28 jun 1977,1977-06-28
276,12/26/92,1992-12-26
277,11/22/95,1995-11-22
278,22 september 2012,2012-09-22
279,monday february 5 1973,1973-02-05
280,30.06.80,1980-06-30
281,thursday november 6 2003,2003-11-06
282,october 31 1982,1982-10-31
283,7 november 1973,1973-11-07
284,oct 29 1981,1981-10-29
285,26.05.06,2006-05-26
286,nov 5 2011,2011-11-05
287,monday april 3 2006,2006-04-03
288,april 28 2009,2009-04-28
289,wednesday december 1 2004,2004-12-01
290,saturday december 17 1977,1977-12-17
291,friday january 11 2008,2008-01-11
292,22 nov 2017,2017-11-22
293,17 may 2006,2006-05-17
294,thursday february 15 1973,1973-02-15
295,sunday june 7 1992,1992-06-07
296,12.10.82,1982-10-12
297,tuesday october 29 1991,1991-10-29
298,28 may 2014,2014-05-28
299,11.03.97,1997-03-11
300,9 jun 1977,1977-06-09
301,20 nov 2011,2011-11-20
302,13 february 1989,1989-02-13
303,apr 25 1986,1986-04-25
304,jul 13 2013,2013-07-13
305,thursday may 5 1983,1983-05-05
306,tuesday february 12 2002,2002-02-12
307,28 jun 2007,2007-06-28
308,march 7 1997,1997-03-07
309,sunday june 27 1982,1982-06-27
310,14 oct 2008,2008-10-14
311,24 dec 1990,1990-12-24
312,10 february 1999,1999-02-10
313,wednesday february 26 1975,1975-02-26
314,saturday august 10 1996,1996-08-10
315,23 february 1991,1991-02-23
316,sunday july 16 1995,1995-07-16
317,sunday june 29 1997,1997-06-29
318,04 nov 1971,1971-11-04
319,saturday august 27 1994,1994-08-27
320,monday february 10 2014,2014-02-10
321,17 dec 1970,1970-12-17
322,sunday april 11 2004,2004-04-11
323,17 may 2016,2016-05-17
324,july 26 1995,1995-07-26
325,monday may 17 1993,1993-05-17
326,tuesday january 18 1983,1983-01-18
327,jul 30 1976,1976-07-30
328,6 july 1986,1986-07-06
329,04 sep 1977,1977-09-04
330,mar 21 1989,1989-03-21
331,30.01.89,1989-01-30
332,february 15 1970,1970-02-15
333,25 july 1986,1986-07-25
334,friday march 10 1995,1995-03-10
335,tuesday january 6 1970,1970-01-06
336,sunday april 11 1993,1993-04-11
337,september 13 1989,1989-09-13
338,saturday march 1 1975,1975-03-01
339,20 march 2008,2008-03-20
340,30 june 1972,1972-06-30
341,thursday february 26 2004,2004-02-26
342,saturday june 17 2000,2000-06-17
343,sunday january 13 1974,1974-01-13
344,4 jul 1981,1981-07-04
345,29 10 73,1973-10-29
346,14 oct 2017,2017-10-14
347,9 dec 1993,1993-12-09
348,friday october 3 1997,1997-10-03
349,april 27 1980,1980-04-27
350,11/28/82,1982-11-28
351,thursday december 22 1977,1977-12-22
352,february 24 2016,2016-02-24
353,friday august 15 1980,1980-08-15
354,thursday october 30 1975,1975-10-30
355,monday december 8 1997,1997-12-08
356,28 02 79,1979-02-28
357,09 jul 2000,2000-07-09
358,thursday december 31 1970,1970-12-31
359,monday august 26 1985,1985-08-26
360,aug 28 1987,1987-08-28
361,wednesday november 19 2014,2014-11-19
362,1 december 1995,1995-12-01
363,17.04.97,1997-04-17
364,saturday november 24 1990,1990-11-24
365,saturday february 27 1988,1988-02-27
366,28 may 1988,1988-05-28
367,9 june 2009,2009-06-09
368,sunday march 28 2004,2004-03-28
369,12/4/79,1979-12-04
370,friday august 20 1982,1982-08-20
371,saturday march 19 1977,1977-03-19
372,friday february 19 2016,2016-02-19
373,27 03 14,2014-03-27
374,wednesday may 22 2013,2013-05-22
375,16 oct 1985,1985-10-16
376,monday january 7 1985,1985-01-07
377,sunday july 27 1997,1997-07-27
378,19 june 1991,1991-06-19
379,monday august 2 1999,1999-08-02
380,december 20 1977,1977-12-20
381,3 october 1979,1979-10-03
382,march 3 2003,2003-03-03
383,tuesday april 4 2006,2006-04-04
384,20.05.86,1986-05-20
385,sunday april 26 2009,2009-04-26
386,december 7 2003,2003-12-07
387,february 13 2007,2007-02-13
388,sunday february 6 1994,1994-02-06
389,saturday november 16 1974,1974-11-16
390,21 01 85,1985-01-21
391,10 jan 1984,1984-01-10
392,wednesday june 7 1972,1972-06-07
393,tuesday june 30 1970,1970-06-30
394,monday october 6 2008,2008-10-06
395,19 may 1992,1992-05-19
396,thursday may 30 2002,2002-05-30
397,thursday may 8 1980,1980-05-08
398,sunday september 14 2014,2014-09-14
399,14 nov 1973,1973-11-14
400,friday june 27 1975,1975-06-27
401,wednesday march 24 1976,1976-03-24
402,13 november 1987,1987-11-13
403,august 26 1985,1985-08-26
404,1/26/72,1972-01-26
405,30 september 1975,1975-09-30
406,february 5 1988,1988-02-05
407,wednesday july 25 2001,2001-07-25
408,10/5/01,2001-10-05
409,thursday august 15 1985,1985-08-15
410,saturday december 17 1983,1983-12-17
411,5 jan 2002,2002-01-05
412,23 nov 1974,1974-11-23
413,thursday september 28 1972,1972-09-28
414,friday march 26 2004,2004-03-26
415,october 11 1972,1972-10-11
416,wednesday december 20 1995,1995-12-20
417,sunday april 29 1984,1984-04-29
418,9 september 2006,2006-09-09
419,08 sep 2017,2017-09-08
420,13 december 1992,1992-12-13
421,6 sep 2006,2006-09-06
422,oct 17 1983,1983-10-17
423,27 may 1993,1993-05-27
424,thursday june 14 2012,2012-06-14
425,friday june 27 1975,1975-06-27
426,sunday may 10 1998,1998-05-10
427,12 may 1979,1979-05-12
428,saturday september 4 1999,1999-09-04
429,13 june 2009,2009-06-13
430,23 may 2015,2015-05-23
431,january 17 1982,1982-01-17
432,monday may 20 1974,1974-05-20
433,22 september 2012,2012-09-22
434,thursday august 12 2004,2004-08-12
435,15 september 2008,2008-09-15
436,5 nov 1970,1970-11-05
437,1 oct 2005,2005-10-01
438,mar 14 1994,1994-03-14
439,3/22/72,1972-03-22
440,november 15 2004,2004-11-15
441,3 september 1981,1981-09-03
442,sunday september 3 1995,1995-09-03
443,monday march 31 1975,1975-03-31
444,january 8 1995,1995-01-08
445,friday november 6 2009,2009-11-06
446,12 jan 1971,1971-01-12
447,sunday october 11 2009,2009-10-11
448,monday march 24 1997,1997-03-24
449,saturday april 27 1991,1991-04-27
450,6/17/82,1982-06-17
451,august 29 1988,1988-08-29
452,march 9 1979,1979-03-09
453,monday march 21 2011,2011-03-21
454,thursday august 23 1984,1984-08-23
455,saturday april 28 1979,1979-04-28
456,sunday may 21 2006,2006-05-21
457,jun 29 1986,1986-06-29
458,3/15/93,1993-03-15
459,monday october 17 1983,1983-10-17
460,tuesday april 24 1973,1973-04-24
461,march 24 2011,2011-03-24
462,1/1/85,1985-01-01
463,tuesday july 13 1976,1976-07-13
464,monday november 11 2013,2013-11-11
465,march 2 2008,2008-03-02
466,thursday august 10 2006,2006-08-10
467,september 20 1970,1970-09-20
468,saturday may 6 1972,1972-05-06
469,21 oct 1992,1992-10-21
470,sunday october 25 2015,2015-10-25
471,mar 19 1990,1990-03-19
472,thursday december 13 2007,2007-12-13
473,sunday may 29 2011,2011-05-29
474,july 21 2010,2010-07-21
475,4 jul 2010,2010-07-04
476,friday march 18 2011,2011-03-18
477,thursday february 4 1982,1982-02-04
478,thursday february 23 1995,1995-02-23
479,5 mar 2008,2008-03-05
480,4 may 1982,1982-05-04
481,sunday december 13 2015,2015-12-13
482,november 19 1986,1986-11-19
483,tuesday august 12 1997,1997-08-12
484,june 17 2009,2009-06-17
485,24 11 86,1986-11-24
486,23 september 1973,1973-09-23
487,1/20/17,2017-01-20
488,saturday june 11 2005,2005-06-11
489,02 apr 2010,2010-04-02
490,monday january 4 2016,2016-01-04
491,wednesday december 15 1982,1982-12-15
492,18 february 1987,1987-02-18
493,2/7/13,2013-02-07
494,september 28 1978,1978-09-28
495,tuesday september 11 1979,1979-09-11
496,4 april 2014,2014-04-04
497,30 nov 2005,2005-11-30
498,wednesday february 21 1990,1990-02-21
499,tuesday january 4 1983,1983-01-04
500,1/22/18,2018-01-22
501,mar 10 1992,1992-03-10
502,15 10 94,1994-10-15
503,18 01 07,2007-01-18
504,6 october 1996,1996-10-06
505,monday july 4 1994,1994-07-04
506,mar 11 2010,2010-03-11
507,thursday february 23 2012,2012-02-23
508,october 29 2015,2015-10-29
509,19 feb 1974,1974-02-19
510,february 6 2002,2002-02-06
511,friday june 9 2006,2006-06-09
512,february 9 1980,1980-02-09
513,29.07.01,2001-07-29
514,thursday may 12 2005,2005-05-12
515,friday july 29 2016,2016-07-29
516,9 july 1994,1994-07-09
517,saturday march 6 1976,1976-03-06
518,saturday february 8 1997,1997-02-08
519,7 05 87,1987-05-07
520,april 27 1977,1977-04-27
521,sunday march 24 1974,1974-03-24
522,14 february 2013,2013-02-14
523,31 october 2014,2014-10-31
524,16 november 2011,2011-11-16
525,16.06.15,2015-06-16
526,monday august 17 1987,1987-08-17
527,22 september 2015,2015-09-22
528,february 3 1973,1973-02-03
529,16 april 1999,1999-04-16
530,2 05 80,1980-05-02
531,apr 11 1981,1981-04-11
532,wednesday july 31 1985,1985-07-31
533,thursday november 29 2007,2007-11-29
534,tuesday september 13 1988,1988-09-13
535,tuesday september 8 1998,1998-09-08
536,friday november 7 1986,1986-11-07
537,friday march 13 1987,1987-03-13
538,16 aug 1970,1970-08-16
539,november 9 1992,1992-11-09
540,19 may 1982,1982-05-19
541,3 dec 2017,2017-12-03
542,april 9 1982,1982-04-09
543,wednesday december 22 1976,1976-12-22
544,february 9 1982,1982-02-09
545,tuesday september 20 1983,1983-09-20
546,tuesday january 8 1974,1974-01-08
547,24 may 2016,2016-05-24
548,10 jun 1989,1989-06-10
549,2 january 2014,2014-01-02
550,thursday july 15 1993,1993-07-15
551,8 june 2000,2000-06-08
552,saturday july 24 2004,2004-07-24
553,15 january 2015,2015-01-15
554,march 11 1986,1986-03-11
555,15 jul 1993,1993-07-15
556,monday november 16 1992,1992-11-16
557,thursday july 7 1994,1994-07-07
558,monday september 5 1977,1977-09-05
559,10 jul 2010,2010-07-10
560,wednesday november 16 1977,1977-11-16
561,22 march 1997,1997-03-22
562,wednesday october 31 1979,1979-10-31
563,march 19 1996,1996-03-19
564,11 november 2002,2002-11-11
565,monday may 12 2014,2014-05-12
566,september 28 1977,1977-09-28
567,october 30 1979,1979-10-30
568,wednesday august 9 1995,1995-08-09
569,tuesday november 22 2016,2016-11-22
570,14 01 98,1998-01-14
571,monday february 16 1987,1987-02-16
572,friday march 28 2003,2003-03-28
573,april 10 1977,1977-04-10
574,20.09.82,1982-09-20
575,20.12.14,2014-12-20
576,24 december 2003,2003-12-24
577,sunday august 22 1993,1993-08-22
578,friday march 13 2009,2009-03-13
579,saturday december 31 2011,2011-12-31
580,19.11.81,1981-11-19
581,16 oct 2006,2006-10-16
582,20 june 2017,2017-06-20
583,wednesday june 1 1977,1977-06-01
584,sunday february 1 1981,1981-02-01
585,13 september 2016,2016-09-13
586,wednesday march 18 2009,2009-03-18
587,monday april 7 1975,1975-04-07
588,15 jul 1971,1971-07-15
589,21 january 2018,2018-01-21
590,6 november 2015,2015-11-06
591,august 30 1974,1974-08-30
592,3/6/80,1980-03-06
593,saturday february 26 1983,1983-02-26
594,6 sep 1996,1996-09-06
595,monday december 7 1981,1981-12-07
596,november 16 2005,2005-11-16
597,sep 2 1974,1974-09-02
598,friday july 10 1992,1992-07-10
599,9 feb 1975,1975-02-09
600,monday february 14 2000,2000-02-14
601,2 jul 1970,1970-07-02
602,monday february 23 1987,1987-02-23
603,22 sep 1980,1980-09-22
604,saturday march 1 2003,2003-03-01
605,6 january 1994,1994-01-06
606,7 dec 1995,1995-12-07
607,july 31 1991,1991-07-31
608,thursday october 10 1985,1985-10-10
609,30 apr 2017,2017-04-30
610,sep 21 1981,1981-09-21
611,tuesday may 16 2000,2000-05-16
612,03 sep 1999,1999-09-03
613,13 apr 2007,2007-04-13
614,march 15 1972,1972-03-15
615,tuesday october 9 2012,2012-10-09
616,27 july 1979,1979-07-27
617,15 05 87,1987-05-15
618,saturday october 11 2008,2008-10-11
619,21 october 1983,1983-10-21
620,wednesday february 8 1978,1978-02-08
621,sunday august 19 1973,1973-08-19
622,19 december 1970,1970-12-19
623,3 aug 1982,1982-08-03
624,june 23 2003,2003-06-23
625,28 feb 1970,1970-02-28
626,oct 2 2006,2006-10-02
627,26 august 1987,1987-08-26
628,oct 7 2006,2006-10-07
629,wednesday july 6 2016,2016-07-06
630,tuesday january 6 2009,2009-01-06
631,tuesday august 12 2003,2003-08-12
632,21 january 1975,1975-01-21
633,8 november 1987,1987-11-08
634,18 11 11,2011-11-18
635,april 26 1984,1984-04-26
636,7/12/08,2008-07-12
637,09 jan 2004,2004-01-09
638,saturday november 21 1992,1992-11-21
639,saturday april 29 1978,1978-04-29
640,monday august 31 1970,1970-08-31
641,29 jul 2007,2007-07-29
642,friday july 25 1980,1980-07-25
643,thursday january 4 2001,2001-01-04
644,monday june 19 1972,1972-06-19
645,may 4 2009,2009-05-04
646,05 jan 1977,1977-01-05
647,aug 2 2008,2008-08-02
648,july 18 1971,1971-07-18
649,friday march 14 1997,1997-03-14
650,monday may 22 1995,1995-05-22
651,friday march 12 1993,1993-03-12
652,friday february 23 2007,2007-02-23
653,monday december 7 1992,1992-12-07
654,october 18 1999,1999-10-18
655,wednesday march 5 2008,2008-03-05
656,03.01.13,2013-01-03
657,thursday september 27 1984,1984-09-27
658,wednesday september 23 1992,1992-09-23
659,22 04 80,1980-04-22
660,23 july 1986,1986-07-23
661,9/18/80,1980-09-18
662,wednesday february 5 1997,1997-02-05
663,monday august 11 1997,1997-08-11
664,19 november 2000,2000-11-19
665,monday april 16 2001,2001-04-16
666,wednesday january 15 1975,1975-01-15
667,february 24 2012,2012-02-24
668,wednesday january 28 2009,2009-01-28
669,thursday december 19 1974,1974-12-19
670,monday october 17 2016,2016-10-17
671,23 oct 1990,1990-10-23
672,12 jun 2004,2004-06-12
673,sep 2 2006,2006-09-02
674,25 august 1980,1980-08-25
675,wednesday october 20 1971,1971-10-20
676,20 01 98,1998-01-20
677,22 feb 2017,2017-02-22
678,7 october 2013,2013-10-07
679,6/6/96,1996-06-06
680,monday february 16 2009,2009-02-16
681,thursday september 15 1988,1988-09-15
682,saturday june 20 1981,1981-06-20
683,16.12.71,1971-12-16
684,december 6 1990,1990-12-06
685,17 mar 1998,1998-03-17
686,thursday february 19 1998,1998-02-19
687,25 06 82,1982-06-25
688,sunday november 23 1980,1980-11-23
689,wednesday september 24 1986,1986-09-24
690,wednesday june 17 1987,1987-06-17
691,wednesday september 12 2001,2001-09-12
692,30 november 1974,1974-11-30
693,march 15 1994,1994-03-15
694,23 jun 1995,1995-06-23
695,friday november 22 2013,2013-11-22
696,saturday march 29 1986,1986-03-29
697,sunday april 17 2011,2011-04-17
698,friday april 1 2005,2005-04-01
699,19 oct 2002,2002-10-19
700,tuesday march 31 1970,1970-03-31
701,saturday november 23 2002,2002-11-23
702,wednesday march 31 2004,2004-03-31
703,13 11 90,1990-11-13
704,monday september 22 1975,1975-09-22
705,10 march 2010,2010-03-10
706,sunday january 24 1993,1993-01-24
707,december 5 1993,1993-12-05
708,22 aug 1992,1992-08-22
709,february 13 2008,2008-02-13
710,friday august 15 1986,1986-08-15
711,sunday february 12 1984,1984-02-12
712,july 29 1994,1994-07-29
713,30 january 2008,2008-01-30
714,aug 20 1976,1976-08-20
715,16.01.93,1993-01-16
716,09 jun 1999,1999-06-09
717,tuesday september 30 2003,2003-09-30
718,8 april 2002,2002-04-08
719,tuesday june 2 1981,1981-06-02
720,saturday july 3 2010,2010-07-03
721,april 3 1976,1976-04-03
722,4 10 85,1985-10-04
723,9/24/94,1994-09-24
724,27 12 79,1979-12-27
725,9/10/73,1973-09-10
726,17 06 99,1999-06-17
727,5/5/08,2008-05-05
728,nov 28 1997,1997-11-28
729,sunday february 11 1973,1973-02-11
730,tuesday august 11 1998,1998-08-11
731,12 january 2003,2003-01-12
732,3 06 14,2014-06-03
733,friday july 17 1970,1970-07-17
734,30 may 2007,2007-05-30
735,6/24/81,1981-06-24
736,september 28 2003,2003-09-28
737,wednesday january 5 2000,2000-01-05
738,friday march 7 1980,1980-03-07
739,4 dec 1983,1983-12-04
740,tuesday january 10 2017,2017-01-10
741,10 september 1971,1971-09-10
742,thursday december 9 2010,2010-12-09
743,5/7/70,1970-05-07
744,jun 29 2006,2006-06-29
745,13 dec 1992,1992-12-13
746,thursday july 31 1986,1986-07-31
747,19 dec 2006,2006-12-19
748,thursday march 22 2012,2012-03-22
749,wednesday september 17 2014,2014-09-17
750,18 10 75,1975-10-18
751,sunday september 4 1994,1994-09-04
752,25.04.98,1998-04-25
753,19 nov 1998,1998-11-19
754,wednesday november 3 1993,1993-11-03
755,thursday august 16 1979,1979-08-16
756,4 oct 1993,1993-10-04
757,wednesday november 5 2014,2014-11-05
758,10 march 1977,1977-03-10
759,sunday december 20 1992,1992-12-20
760,24 07 98,1998-07-24
761,friday april 7 2017,2017-04-07
762,july 24 1999,1999-07-24
763,sep 14 1998,1998-09-14
764,11 november 1981,1981-11-11
765,tuesday july 12 2016,2016-07-12
766,1 jan 1996,1996-01-01
767,may 24 1978,1978-05-24
768,13 11 74,1974-11-13
769,friday march 9 1984,1984-03-09
770,wednesday april 19 2000,2000-04-19
771,sunday may 28 1995,1995-05-28
772,monday july 7 1980,1980-07-07
773,friday july 12 1985,1985-07-12
774,26 june 2015,2015-06-26
775,2/13/86,1986-02-13
776,24 december 1980,1980-12-24
777,friday august 9 1996,1996-08-09
778,monday october 26 1981,1981-10-26
779,4 june 2005,2005-06-04
780,4 12 04,2004-12-04
781,wednesday august 24 2016,2016-08-24
782,tuesday september 30 2008,2008-09-30
783,wednesday july 19 2006,2006-07-19
784,apr 20 1987,1987-04-20
785,1/22/74,1974-01-22
786,jul 5 2007,2007-07-05
787,thursday november 7 1985,1985-11-07
788,thursday july 30 1998,1998-07-30
789,16 mar 1995,1995-03-16
790,13 sep 1985,1985-09-13
791,december 7 2008,2008-12-07
792,04 jul 1984,1984-07-04
793,3 january 1991,1991-01-03
794,tuesday october 29 1991,1991-10-29
795,june 17 1996,1996-06-17
796,14 apr 1986,1986-04-14
797,friday june 21 1991,1991-06-21
798,05.12.98,1998-12-05
799,27 january 1997,1997-01-27
800,thursday february 4 1988,1988-02-04
801,sunday september 13 1998,1998-09-13
802,october 15 1994,1994-10-15
803,wednesday november 16 2011,2011-11-16
804,friday august 22 2014,2014-08-22
